Gene	Num_Studies	Studies	Response	SB_count	SB_Response_Summary	SB_Ind_Responses	SB_CellFrac	TCPOBOP_count	TCPOBOP_Response_Summary	TCPOBOP_Ind_Responses	TCPOBOP_CellFrac	Background
SLC16A2	1	G21_TCPOBOP	G21_TCPOBOP_Down_AC_0_FC_1	0	NotSexBiased	NA	NA	1	Induced_Female_Down_T27	F_D_T27	0000000010	FALSE
SLC16A5	4	G21_SB:G21_TCPOBOP:G22:M19	G21_SB_Female_AC_3:G21_TCPOBOP_Down_AC_3_FC_0:G22_200000000:M19_0_Robust_F	3	SexBiased_Female	F	22200	1	Induced_Male_Down_T27	M_D_T27	1101000000	FALSE
SLC16A7	1	M19	M19_0_Weak_F	1	SexBiased_Female	F	NA	0	NotInduced	NA	NA	FALSE
SLC17A2	2	G21_TCPOBOP:M19	G21_TCPOBOP_Down_AC_1_FC_4:M19_1_WeakMismatch_M	1	Conflict	C	NA	1	Induced_Male_Down_T27	B_D_T27	0100011011	FALSE
SLC17A4	2	G21_TCPOBOP:M19	G21_TCPOBOP_Down_AC_1_FC_0:M19_2_Weak_F	1	SexBiased_Female	F	NA	1	Induced_Male_Down_T27	M_D_T27	0100000000	FALSE
SLC17A8	4	G21_TCPOBOP:G22:L17:M19	G21_TCPOBOP_Up_AC_5_FC_2:G22_110000000:L17_M27_U:M19_0_Robust_M	2	SexBiased_Male	M	NA	2	Induced_Both_Both_T27	B_U_T27,M_D_T27	2222200220	FALSE
SLC17A9	1	G21_TCPOBOP	G21_TCPOBOP_Up_AC_2_FC_2	0	NotSexBiased	NA	NA	1	Induced_Male_Up_T27	B_U_T27	0002220020	FALSE
SLC18A2	2	G22:L17	G22_010000000:L17_M27_D	1	SexBiased_Male	M	NA	1	Induced_Male_Down_T27	M_D_T27	NA	FALSE
SLC19A2	1	L17	L17_F3_D	0	NotSexBiased	NA	NA	1	Induced_Female_Down_T3	F_D_T3	NA	FALSE
SLC1A2	3	G21_TCPOBOP:L17:M19	G21_TCPOBOP_Down_AC_5_FC_2:L17_M27_D:M19_1_Weak_F	1	SexBiased_Female	F	NA	2	Induced_Both_Down_T27	B_D_T27,M_D_T27	1111111000	FALSE
SLC1A4	2	G21_TCPOBOP:M19	G21_TCPOBOP_Up_AC_1_FC_0:M19_1_Weak_F	1	SexBiased_Female	F	NA	1	Induced_Male_Up_T27	M_U_T27	0000200000	FALSE
